1,111,90,833.847061
2,54,78,722.355409
3,96,82.5,764.1647785
4,139,93.8,869.1527508
5,81,96.2,891.4510812
6,124,98.8,915.6076058
7,67,101.4,939.7641304
8,109,104,963.920655
9,52,86.6,802.2577596
10,94,89.2,826.4142842
11,137,91.8,850.5708088
12,79,94.2,872.8691392
13,122,96.8,897.0256638
14,64,99.2,919.3239942
15,107,101.8,943.4805188
16,149,104.2,965.7788492
17,92,106.8,989.9353738
18,134,109.2,1012.2337042
19,77,111.8,1036.3902288
20,119,114.2,1058.6885592
21,62,96.8,897.0256638
22,104,99.2,919.3239942
23,147,101.8,943.4805188
24,90,104.4,967.6370434
25,132,107,991.793568
26,75,109.6,1015.9500926
27,117,112.2,1040.1066172
28,60,94.8,878.4437218
29,102,97.2,900.7420522
30,145,99.8,924.8985768
31,87,102.2,947.1969072
32,130,104.8,971.3534318
33,72,107.2,993.6517622
34,115,109.8,1017.8082868
35,57,92.2,854.2871972
36,100,94.8,878.4437218
